"filename", "language", "JavaScript", "Ini", "JSON", "Groovy", "Batch", "Properties", "C++", "MATLAB", "XML", "Java", "comment", "blank", "total"
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/package-lock.json", "JSON", 0, 0, 27294, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27295
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/EntryPoint.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/actions/constants.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/actions/logActions.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/actions/searchActions.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/actions/signUpActions.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/actions/themeActions.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/button.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/changeThemeButton.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/goBackButton.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/searchButton.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/text.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/components/textInput.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/navigations/navigations.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 202
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/reducers/CombineReducer.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/reducers/LoggedReducer.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/reducers/SearchReducer.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/reducers/ThemeReducers.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/reducers/signUpReducer.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/sagas/logSaga.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/sagas/rootSaga.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
